"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"89" 75600003 0 1 0 6 0 -1.1858 0.0672 0.2907 1.3381 0.5835 1.1793 0.9024 1.2952 -0.3673 -0.6576 135 180 270 602.191 613.901 646.23 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"90" 75600003 0 2 0 6 0 1.0944 -0.3184 0.2907 0.5972 0.4765 -0.1357 0.2044 0.8427 -1.3345 -0.6576 225 135 270 642.435 646.605 614.558 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"93" 75600003 1 2 3 6 0 -1.109 0.6738 1.5346 0.7325 1.1953 -0.1357 0.2408 0.621 -1.1481 1.0346 270 180 360 561.814 539.775 525.482 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"94" 75600003 1 1 0 6 0 -1.4869 -0.9675 -0.7823 0.2819 1.5465 -0.1357 -0.8522 0.9899 0.0079 0.2169 135 135 180 583.184 559.218 549.627 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"95" 75600003 0 3 3 6 0 0.052 1.4326 -0.7823 0.9736 0.5835 1.1793 0.7153 0.85 -0.0348 1.0346 270 135 315 745.565 627.159 639.037 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"99" 75600004 1 1 0 6 0 -0.9823 0.9423 -0.7823 0.2594 0.9244 1.1793 -0.7296 1.0313 0.7628 1.0346 180 180 135 350.546 366.062 371.534 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"110" 75600004 1 1 0 5 0 -0.4342 1.4326 -0.7823 0.2872 0.5835 -0.1357 -0.2101 -0.26 0.481 1.0346 225 180 135 573.79 570.621 532.363 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"111" 75600004 1 1 0 5 0 -1.1597 2.7249 0.7703 -0.2188 -0.3819 0.0477 -0.2417 -0.6471 0.6259 1.0346 180 180 360 486.58 487.501 477.728 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"114" 75600004 1 1 0 5 0 -1.1597 -0.1064 -0.7823 1.2781 0.8034 1.1793 0.6476 1.0394 1.314 1.0346 225 180 225 692.711 646.403 703.932 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"115" 75600004 1 1 0 5 0 1.8905 -0.9836 2.9705 0.6301 0.6561 -0.1357 0.551 0.2031 0.7628 -0.6576 225 180 135 559.015 480.69 549.321 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"117" 75600004 0 1 0 3 0 -0.2006 2.7249 -0.7823 0.3328 0.1299 1.1793 0.0148 -0.6065 0.481 1.0346 180 180 315 574.667 530.997 569.901 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"118" 75600004 0 1 0 1 0 1.1422 -0.8428 2.0604 -0.4108 -0.3819 -1.1443 0.148 -1.9151 -0.3584 -1.2947 135 90 225 424.463 466.504 413.227 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"123" 75600004 0 1 0 3 0 -0.4342 -1.186 1.1211 0.3288 0.4254 -0.1357 0.3083 -0.6436 0.4394 0.6364 180 180 225 497.13 509.451 583.733 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"125" 75600004 1 1 0 3 0 -0.4342 0.9423 0.2907 -0.4485 -0.1932 -0.6122 -0.666 -1.064 -0.0037 0.6402 225 225 135 567.302 514.131 608.178 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"126" 75600004 0 1 0 4 0 -1.4869 -0.9331 -0.7823 -0.3124 -0.3819 -1.0118 0.4225 -0.3355 -0.2023 1.0346 180 180 135 435.013 433.389 502.398 23 9.3478 0.6221 -0.0019 -0.5654 1.4788 0.9042
"135" 75600005 1 3 2 6 0 -0.3799 -0.4217 -0.7823 0.3052 1.5465 -0.1357 -0.8123 0.903 -1.1481 -0.6576 270 270 90 481.848 417.989 382.98 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"137" 75600005 1 1 0 5 0 0.1097 -0.9836 1.5082 -0.0789 -0.7888 -1.0193 1.2157 0.4377 -0.7074 -1.0691 360 360 90 497.79 358.535 399.142 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"138" 75600005 0 2 3 6 0 -0.0288 -1.2605 1.5172 0.8019 0.6561 -0.7806 0.4396 0.1688 -2.7106 0.0116 0 0 0 428.137 281.327 363.424 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"141" 75600005 1 1 0 4 0 -0.6133 -0.1769 -0.7823 0.0327 -0.338 -0.6122 0.6614 -0.4423 -2.7106 -1.7671 105 105 105 352.433 330.831 349.48 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"145" 75600005 1 1 2 6 0 0.8207 2.7249 0.2308 0.7874 0.872 -0.1357 0.7703 1.2038 -2.1621 -1.7696 180 180 90 400.655 346.451 387.728 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"147" 75600005 0 1 0 3 0 -0.1748 0.6818 1.1625 0.7916 -0.474 0.0477 1.4386 0.2338 -0.1605 1.0346 180 180 90 420.234 522.071 439.181 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"148" 75600005 0 1 0 5 0 -0.687 -1.0523 1.5082 -0.4981 0.6045 -1.0118 -1.4079 0.4062 -1.415 -0.6576 180 180 90 410.308 413.6 433.051 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"150" 75600005 1 2 3 5 0 -0.0845 0.705 -0.7823 0.7566 0.0213 1.1793 1.5761 0.5243 -1.0051 1.0346 270 180 90 463.241 282.637 438.785 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"151" 75600005 1 3 3 2 0 -0.5311 -1.186 2.07 -1.1028 0.6403 -0.8773 -1.0582 -1.7601 0.1694 -0.6576 480 600 240 355.24 271.906 365.973 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"153" 75600005 0 1 0 6 1 -0.9295 -0.1769 2.8415 1.3211 1.0087 1.1793 0.9525 1.1003 -1.555 0.3622 180 180 135 464.88 272.452 305.744 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"155" 75600005 1 1 0 6 0 -0.687 -0.8273 0.2308 -0.2567 -1.8598 -0.1357 0.6475 0.2024 -1.1481 -1.5824 270 225 90 428.454 335.292 335.625 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"158" 75600005 1 1 0 2 0 -0.4342 -1.186 -0.7823 -0.3389 -1.2227 1.1793 -0.3309 -1.5159 -2.7106 1.0346 225 180 90 454.669 370.79 441.744 23 11.0741 -0.2488 0.1825 -0.6823 0.2266 -1.0542
"193" 75600007 0 2 2 5 0 -0.9295 0.7984 -0.7823 -0.6564 -1.8107 0.0477 -0.2699 -0.5764 0.1597 1.0346 225 225 90 547.846 561.124 585.221 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"194" 75600007 1 1 2 6 0 -0.13 1.1479 -0.7823 -0.7823 -0.6937 -0.1357 -0.8566 0.4777 -0.3673 0.6402 225 225 90 639.81 560.478 591.42 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"196" 75600007 1 3 3 5 0 -0.13 -0.7504 1.1625 -0.402 -1.1969 0.0477 -0.3375 -0.5166 -0.406 -0.6576 300 300 100 612.187 413.085 448.922 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"197" 75600007 0 2 2 6 0 0.176 0.1039 -0.7823 -0.3857 -0.3763 -0.4396 -0.2272 -0.2184 -0.013 -1.3914 225 225 180 618.613 565.333 572.908 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"199" 75600007 0 2 2 6 0 -0.3799 -0.9956 -0.7823 -0.7026 0.6886 -2.4403 -1.2396 -0.0296 0.6259 -1.1847 225 270 90 464.402 498.099 482.857 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"200" 75600007 1 1 2 3 0 -0.687 -0.1049 -0.7823 -1.2133 -1.8107 -1.0118 -0.8381 -0.9471 -0.4082 0.5029 225 270 135 636.026 640.887 612.932 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"202" 75600007 1 3 2 4 0 -1.8939 3.22 -0.7823 -0.11 -1.1969 -0.4396 0.7634 -0.9064 -0.3352 1.0346 225 270 225 468.16 434.821 508.665 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"203" 75600007 0 3 2 1 1 -0.3009 0.1974 -0.7823 -0.8366 -0.7415 0.0477 -0.7074 -1.75 -0.3673 1.0346 225 270 180 464.243 409.641 419.819 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"205" 75600007 1 3 3 6 0 -1.4869 0.7364 -0.7823 -0.1324 -0.607 -0.6853 0.0103 -0.2889 -0.819 1.0346 275 330 110 424.706 321.088 356.143 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"207" 75600007 1 1 2 6 0 -0.3799 0.1549 0.7703 1.0262 0.7895 1.1793 0.2609 1.3438 -0.0439 -0.6576 225 270 135 478.735 525.258 533.003 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"208" 75600007 0 2 2 1 0 0.176 0.8817 -0.7823 -0.0947 0.0505 1.1793 -0.5178 -1.102 0.481 1.0346 225 270 90 485.143 498.813 511.117 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"209" 75600007 1 2 2 2 0 -0.687 0.5698 -0.7823 0.2 0.0127 1.1793 0.4027 -0.2965 0.7015 0.5029 225 270 90 524.655 431.567 398.934 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"210" 75600007 1 3 2 1 0 -1.8939 0.4221 -0.7823 -1.3897 -1.8107 -1.0118 -1.0361 -2.4408 -0.5488 -1.5824 270 270 90 453.408 469.465 517.923 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"211" 75600007 0 3 2 0 1 -1.4242 -0.7239 -0.7823 -0.7494 -1.8107 -0.9191 0.0675 -2.7057 1.314 0.6364 270 270 90 355.681 359.734 320.026 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"212" 75600007 1 2 2 6 0 -1.8939 -1.806 1.1625 -0.6331 -0.7415 -1.0118 0.0066 -0.5927 -1.464 -1.3914 350 450 150 436.377 444.396 467.156 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"214" 75600007 1 3 2 2 0 -0.687 -0.7722 0.7703 -0.4949 -0.7415 0.0477 -0.0765 -1.4859 1.314 -1.7671 270 270 90 454.124 462.577 481.048 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"216" 75600007 0 2 3 6 0 -0.0845 -0.682 1.1928 -0.1807 -0.031 0.0477 -0.1004 -0.1825 0.1924 -0.6576 225 270 135 501.332 512.421 509.818 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"217" 75600007 1 1 2 6 0 -0.4939 -0.3091 -0.7823 0.5001 0.7354 1.1793 -0.0951 1.1238 0.7628 1.0346 225 225 90 667.875 616.165 717.129 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542
"219" 75600008 0 1 0 5 0 -0.687 0.6818 -0.7823 0.193 -0.474 -1.0118 0.7916 -0.2395 -0.9734 1.0346 225 225 180 624.644 576.073 538.175 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"220" 75600008 1 1 0 6 0 -0.7592 0.6576 1.2327 0.4015 -0.0502 -0.6122 1.2876 1.0405 -0.7857 0.2169 225 180 180 607.089 535.697 576.688 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"222" 75600008 1 1 0 6 0 -1.2319 0.4766 -0.7823 -0.3188 -0.6541 -0.6122 0.3919 0.5671 -2.1621 1.0346 225 225 180 410.691 371.227 369.184 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"223" 75600008 0 1 0 2 1 0.052 0.9517 -0.7823 -1.6025 -1.8598 -1.3311 -0.782 -1.8811 -0.1206 -0.6576 360 180 225 334.362 451.233 498.015 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"225" 75600008 1 1 0 3 0 -1.8939 0.4381 0.2907 0.7454 1.5465 1.1793 -0.3866 -0.4669 0.4394 1.0346 360 225 180 518.301 518.06 544.855 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"226" 75600008 1 1 0 4 1 1.8905 2.7249 0.2907 -0.3551 -0.3819 -0.6122 0.0115 0.0202 0.4394 0.6402 225 180 90 472.019 464.699 461.256 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"228" 75600008 1 1 0 6 0 0.4637 1.4326 -0.7823 0.1121 -0.6541 -0.1357 0.6475 0.9445 -2.1007 -0.6576 180 180 180 633.346 645.801 607.111 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"229" 75600008 0 1 2 4 0 -0.6133 0.6818 0.2907 0.9857 0.6765 -1.0118 1.3213 0.4628 -0.3673 1.0346 180 180 135 546.318 558.16 568.141 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"230" 75600008 1 1 0 3 0 0.4637 -0.3184 0.2907 -0.4576 -0.1269 -0.6122 -0.0698 -0.517 -0.8998 1.0346 360 180 180 626.871 641.454 595.383 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"231" 75600008 1 1 0 5 0 -0.9823 2.7249 -0.7823 0.6072 1.5465 -0.1357 -0.2988 -0.1246 0.7015 1.0346 225 180 180 605.044 597.512 568.342 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"232" 75600008 0 1 0 6 0 1.8905 0.6653 -0.7823 1.1578 1.5465 -0.1357 0.1952 0.8132 1.314 1.0346 180 225 180 555.542 586.521 561.001 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"235" 75600008 0 1 0 5 0 0.2734 1.4685 -0.7823 0.195 -0.3819 1.1793 -0.0631 0.2604 1.314 0.6402 180 135 180 571.688 650.946 562.394 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
"237" 75600008 1 2 2 4 0 -1.0109 1.4685 0.2907 -0.1995 -1.2227 1.1793 0.1156 -0.7551 -0.6675 0.3622 225 180 135 511.157 407.141 380.176 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009
