"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"28" 72400001 1 1 0 6 0 0.1097 -0.1762 0.8233 0.0881 -0.1838 -0.1357 -0.0847 0.8201 -0.2023 0.2169 0 220 220 165 584.682 629.909 536.496 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"29" 72400001 1 1 0 6 0 0.2734 -0.4509 -0.7823 -0.135 0.4541 -1.0118 -0.6235 0.6296 0.3485 1.0346 0 240 240 180 480.556 560.24 543.435 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"30" 72400001 0 1 0 6 0 0.4637 0.0348 -0.7823 0.5868 0.7064 0.0477 0.3156 1.252 -0.3673 0.2169 0 240 240 0 517.486 516.827 505.552 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"31" 72400001 1 1 0 6 0 -0.13 0.9423 -0.7823 0.0075 -0.1838 -0.1357 0.0379 0.8119 0.7628 0.2169 0 220 220 165 662.471 605.491 638.232 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"32" 72400001 0 1 0 6 0 -0.687 2.7249 -0.7823 0.477 -0.0273 1.1793 0.4881 0.4696 1.314 0.5029 0 220 220 0 474.413 511.564 447.344 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"34" 72400001 0 1 0 4 0 0.1097 -0.9111 0.2907 0.4053 1.0094 1.1793 -0.4463 0.342 1.314 1.0346 1 240 240 180 507.781 642.556 570.892 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"35" 72400001 1 1 0 6 0 -0.7592 0.6818 -0.7823 -0.3012 0.2916 -1.0118 -0.5939 -0.2146 1.314 -0.6576 0 220 220 0 439.652 415.074 468.092 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"37" 72400001 1 2 0 5 0 -1.8939 0.8801 -0.7823 -0.7234 0.7064 -1.0752 -0.8652 -0.6031 1.314 1.0346 0 240 240 180 536.978 585.025 560.244 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"38" 72400001 1 2 0 6 0 -1.4869 1.4685 -0.7823 0.4852 0.7064 -0.1357 -0.0413 0.5265 1.314 1.0346 0 240 240 360 585.573 631.936 668.897 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"39" 72400001 0 2 0 5 1 0.052 -0.3184 -0.7823 -1.1777 -0.9597 -1.6618 -0.3432 0.0729 -0.0348 -1.3914 0 220 220 330 401.733 527.861 456.03 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"40" 72400001 1 1 0 6 0 0.052 2.7249 -0.7823 1.2352 1.0094 0.0477 1.0104 1.2823 -0.3971 -0.6576 0 240 240 180 440.439 477.002 529.31 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"41" 72400001 0 1 0 6 0 -0.687 2.7249 -0.7823 0.3359 -0.0851 -0.1357 -0.0137 1.1835 1.314 1.0346 0 240 240 180 602.38 644.142 689.372 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"42" 72400001 1 3 0 2 1 -0.9295 0.6818 -0.7823 -0.4763 0.1986 -1.0118 -0.3947 -1.3837 -0.2023 1.0346 2 240 300 180 265.173 365.137 269.582 28 1.2 1.0283 1.0953 -0.6266 -0.1274 -0.1868
"46" 72400002 0 3 0 6 1 -0.687 -0.4509 -0.7823 0.1145 -0.677 0.0477 0.7249 -0.2881 1.314 1.0346 0 480 480 360 388.364 415.404 405.696 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"47" 72400002 0 3 0 5 1 1.0671 0.6818 -0.7823 -2.3478 -1.7521 -1.5971 -1.7303 -1.4026 -0.9734 0.2127 1 220 220 165 312.204 237.912 283.433 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"48" 72400002 0 2 0 4 0 0.4637 0.6818 -0.7823 -0.4042 0.1758 -0.6853 -0.5726 -1.1371 1.314 1.0346 1 200 200 0 514.535 536.881 460.767 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"49" 72400002 1 1 0 6 0 -0.687 -0.3184 -0.7823 -0.7701 -0.0649 -0.4903 -0.9958 -0.1336 -0.3971 0.5029 0 220 220 165 511.467 630.807 559.772 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"50" 72400002 0 3 0 6 1 0.1097 0.3018 -0.7823 -1.5314 -0.2825 -0.1357 -1.6941 -0.7103 -0.3971 -0.6576 2 165 165 165 477.447 452.915 413.832 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"51" 72400002 1 2 0 5 1 -1.8939 0.6818 -0.7823 -0.9207 -0.9597 -0.4903 -0.6935 -2.6149 1.314 -0.6576 1 220 220 330 340.928 272.864 381.082 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"52" 72400002 1 2 0 0 0 0.1097 0.3241 0.2907 -0.3817 1.802 0.0477 -0.9985 -1.6665 0.7015 0.6402 1 220 220 330 489.54 457.596 470.091 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"53" 72400002 0 1 0 2 1 -0.1748 2.7249 -0.7823 0.331 1.0094 -0.4903 -0.3441 -1.1583 1.314 1.0346 0 220 220 660 441.037 422.886 446.24 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"54" 72400002 1 1 0 6 1 -0.6133 0.6818 -0.7823 0.295 -0.383 1.1793 0.7409 0.7851 -0.5161 0.5029 0 240 240 180 388.793 381.494 396.199 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"55" 72400002 0 1 0 5 0 -0.6133 -0.0358 -0.7823 0.4024 -0.1783 1.1793 0.317 -0.3065 -1.6385 -1.58 0 220 220 165 390.362 381.715 404.558 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"56" 72400002 0 2 0 6 0 -0.3009 0.9782 0.2907 -0.5285 1.802 -1.0118 -1.0397 -0.5484 -0.5088 -0.9122 1 220 220 880 563.496 579.551 700.673 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"57" 72400002 1 1 0 3 0 0.4637 -0.5878 -0.7823 -1.1614 -1.7521 -0.9302 -0.5764 -1.1892 -0.3971 -0.6576 0 220 220 165 554.112 511.286 493.022 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"58" 72400002 0 3 0 4 1 -1.4869 1.4685 -0.7823 0.1508 0.4541 -0.1357 -0.2173 -0.7726 1.314 1.0346 1 220 220 165 477.985 442.196 428.309 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"61" 72400002 1 3 3 2 0 -0.687 1.4685 -0.7823 -1.2828 -0.5491 -1.3835 -0.5815 -1.8799 0.1274 0.2127 2 240 240 240 516.863 495.03 541.817 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"62" 72400002 0 1 0 5 0 0.5949 -0.4509 0.2907 0.4911 0.4239 0.0477 0.3827 0.3581 1.314 -0.6576 0 220 220 330 353.843 487.995 374.067 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"63" 72400002 1 1 0 6 0 -0.4342 -0.6464 -0.7823 -0.2298 -1.7521 0.1806 0.1446 0.563 0.7015 1.0346 0 220 220 0 476.862 508.768 412.092 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"64" 72400002 1 1 3 6 1 -1.8939 2.7249 -0.7823 0.0788 -0.0851 -0.4903 -0.0275 0.4896 -0.0862 -0.6576 0 225 225 225 507.761 443.882 428.468 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"65" 72400002 0 1 0 2 0 -0.4342 0.6818 -0.7823 -0.4952 -0.0851 -1.0118 -0.4283 -1.5756 -0.7769 1.0346 2 220 220 0 415.365 458.184 494.857 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"66" 72400002 1 1 0 2 1 -0.2006 -0.2037 -0.7823 -0.7002 -1.2379 -0.6853 -0.112 -1.7549 -0.9422 -0.6576 0 220 220 165 390.31 387.61 446.816 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"67" 72400002 1 1 0 6 0 0.052 0.472 -0.7823 1.5148 1.802 1.1793 0.7311 0.7648 1.314 1.0346 0 220 220 550 558.537 504.069 550.844 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"68" 72400002 1 3 0 4 1 -1.8939 0.9303 -0.7823 -0.4115 -0.2825 -0.4396 -0.0695 -0.8719 1.314 1.0346 2 220 220 165 309.747 433.706 380.455 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"69" 72400002 0 1 0 5 0 -0.9295 -0.1769 -0.7823 0.4966 1.802 1.1793 -0.2938 0.7784 -0.5973 -1.3914 1 220 220 0 472.156 484.408 457.616 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"70" 72400002 0 1 0 6 1 0.4637 0.1589 1.1928 1.1016 1.802 1.1793 0.1417 1.3368 1.314 -0.6576 2 220 220 165 503.794 551.599 547.252 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"71" 72400002 0 3 0 6 1 -0.7592 -1.1892 -0.7823 -0.3748 -0.0851 -0.6853 -0.3972 0.3937 1.314 0.2127 1 220 220 110 408.698 456.615 430.492 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"73" 72400002 1 1 0 6 0 -0.4342 0.3241 0.2907 0.1368 0.2964 0.0477 -0.3926 0.2502 0.4394 0.5029 0 220 220 385 651.844 609.598 607.13 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"74" 72400002 1 3 0 3 0 1.8905 0.9303 2.0327 -0.8429 -0.9597 -1.1878 -0.3331 -1.3323 -1.6031 -1.8624 0 180 180 180 532.643 487.229 510.265 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"75" 72400002 0 1 0 6 0 0.4637 0.9423 -0.7823 1.4408 1.802 1.1793 0.4747 1.0004 0.7015 1.0346 0 220 220 165 479.611 462.177 418.614 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"76" 72400002 0 1 0 4 0 -1.8939 0.171 -0.7823 0.4007 1.0094 -0.1357 0.011 -0.3765 1.314 1.0346 1 240 240 180 471.493 530.045 451.825 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"77" 72400002 1 1 0 4 0 0.8207 -0.3184 -0.7823 1.01 1.0094 1.1793 0.591 -0.5386 1.314 -0.6576 0 220 220 165 634.639 561.001 541.691 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"78" 72400002 0 1 0 6 0 -1.1858 0.1935 -0.7823 -0.557 -1.2379 -1.0118 0.1376 0.0711 1.314 1.0346 0 220 220 165 393.773 360.519 453.546 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"80" 72400002 0 1 0 5 0 -1.8939 2.7249 -0.7823 0.3001 -0.2784 1.1793 0.2876 -0.1734 1.314 1.0346 0 220 220 495 566.478 574.152 469.441 23 7.6379 0.0686 0.43 0.5078 1.1612 0.9042
"81" 72400003 1 1 0 6 0 -0.3498 -0.0349 1.1625 1.073 0.5727 -0.6853 1.2541 1.3472 -1.6031 1.0346 0 200 200 0 417.079 427.051 505.946 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"82" 72400003 0 1 1 6 0 -0.13 0.9423 -0.7823 1.6573 0.5727 1.1793 1.3554 1.2014 -0.4377 1.0346 0 250 200 350 498.701 520.509 537.669 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"86" 72400003 1 1 1 6 0 -0.9295 -0.6659 -0.7823 0.3974 -0.5011 -0.6853 1.3554 1.0803 1.314 1.0346 0 200 200 200 649.384 663.52 740.891 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"87" 72400003 0 1 1 6 0 0.9109 2.7249 -0.7823 0.2183 0.7477 -0.1357 -0.5817 1.0046 0.6259 0.5029 0 250 200 350 633.667 669.437 637.188 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"88" 72400003 0 1 1 6 0 1.1422 -0.0358 -0.7823 1.9451 1.7709 1.1793 1.1233 1.6938 -2.7106 1.0346 1 250 250 450 652.627 587.428 584.793 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"89" 72400003 1 1 0 6 0 0.4637 -0.7535 -0.7823 0.4346 -0.6866 0.0477 1.137 0.3915 1.314 -1.9687 0 200 200 250 335.484 320.776 362.38 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"90" 72400003 0 1 0 6 0 -1.2792 0.9423 -0.7823 1.9279 0.3715 0.0477 2.1831 1.7281 -1.8358 1.0346 0 200 200 350 522.454 579.908 494.5 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"94" 72400003 0 1 1 6 0 -0.13 -0.6287 0.2308 0.1855 1.1612 -1.0527 -0.1978 0.7388 -2.7106 0.3622 0 200 200 0 573.521 646.085 572.294 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"96" 72400003 0 3 0 6 0 1.4083 -0.3184 -0.7823 -0.7616 -0.4132 -0.4396 -0.6474 0.5899 0.6259 1.0346 2 240 240 240 496.057 526.998 481.258 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"97" 72400003 1 1 0 6 0 1.8905 0.2929 0.8233 0.9039 1.7709 0.0477 0.3688 1.0741 -1.5447 1.0346 0 200 200 250 520.777 424.642 420.765 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"98" 72400003 0 1 1 6 0 0.1097 -0.0358 -0.7823 1.3993 1.7709 1.1793 0.3267 1.4009 -1.555 1.0346 1 250 200 350 575.777 546.339 562.972 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"99" 72400003 1 1 1 6 0 -1.8939 -0.3874 1.1625 1.0878 0.6059 1.1793 0.5571 0.4231 -2.7106 -0.6576 2 250 250 250 412.554 457.114 488.429 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"100" 72400003 0 1 0 6 0 -1.8939 2.7249 -0.7823 2.2407 1.1612 1.1793 1.8725 1.8058 -0.4082 1.0346 0 200 200 200 629.18 525.565 601.572 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"101" 72400003 0 1 0 6 0 1.1911 -1.1935 0.7703 2.1163 1.7709 1.1793 1.0655 1.4856 1.314 1.0346 0 200 200 200 649.102 575.258 524.161 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"103" 72400003 0 1 0 6 0 -0.3009 2.7249 -0.7823 1.1993 1.1612 -0.1357 0.9825 1.4006 -1.3684 1.0346 0 200 200 200 548.741 499.068 525.748 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"104" 72400003 1 1 1 6 0 0.4637 0.3018 -0.7823 -0.0516 -0.7413 -0.6853 0.1746 0.768 1.314 1.0346 0 200 200 200 571.669 560.788 603.384 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"105" 72400003 0 1 1 6 0 1.1422 -1.0977 -0.7823 0.6116 0.7477 0.0477 0.4607 0.9504 -2.7106 -1.9687 0 250 200 350 464.294 436.54 487.042 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"107" 72400003 0 1 0 6 0 -0.9295 -0.1843 -0.7823 -0.8335 -0.8726 -1.0118 -0.3102 0.1873 -2.1007 0.2169 0 250 200 350 616.857 588.717 535.297 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"108" 72400003 0 1 0 6 0 -1.8939 0.5403 -0.7823 1.4483 1.1612 -0.1357 1.3554 1.51 -2.7106 1.0346 2 250 200 0 476.411 438.003 412.006 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"110" 72400003 1 1 0 6 0 0.1097 0.9683 0.2308 0.1686 -0.0935 -0.1357 0.3902 1.1177 1.314 0.5029 1 200 200 200 572.023 553.291 594.74 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"111" 72400003 1 1 1 6 0 0.1097 -0.4509 -0.7823 0.8528 0.8723 1.1793 0.2174 1.4022 -0.3673 -0.6576 0 180 180 315 591.323 525.932 588.138 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"112" 72400003 1 1 0 6 0 -0.3009 1.4326 0.2308 2.6025 1.7709 1.1793 1.4253 1.6913 1.314 1.0346 0 250 150 200 635.64 622.327 666.529 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"113" 72400003 1 1 0 6 0 -1.8939 -0.3184 -0.7823 1.2297 1.1612 1.1793 0.4607 1.4326 0.7015 1.0346 0 250 200 500 700.848 695.66 664.446 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"115" 72400003 1 1 1 6 0 1.1422 -0.7654 0.2308 2.4257 1.7709 1.1793 1.4494 1.9387 -2.7106 -2.4468 0 480 480 480 492.817 512.318 605.365 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"117" 72400003 0 1 1 6 0 -0.687 0.3018 -0.7823 1.0004 0.8723 -0.1357 0.9978 1.1149 0.7015 1.0346 0 200 200 200 533.052 551.934 549.674 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"118" 72400003 1 1 0 6 0 -1.4242 0.4846 -0.7823 0.2662 -0.1471 -0.6853 0.9143 0.9665 0.1694 1.0346 1 150 200 150 591.174 560.827 550.638 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"120" 72400003 0 1 1 6 0 0.1097 0.6818 3.8591 1.849 0.493 -0.1357 2.2959 1.474 -2.1621 0.2169 0 200 200 200 576.433 521.548 540.866 23 10.4452 -0.949 -0.5869 -2.0719 -1.419 0.9042
"121" 72400004 0 3 0 6 0 -0.4342 2.7249 -0.7823 -0.3122 -0.383 0.0477 -0.2432 -0.2864 0.4394 1.0346 0 200 200 150 492.62 438.011 418.02 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"122" 72400004 0 1 0 4 0 0.1097 2.7249 -0.7823 -0.066 0.7064 1.1793 -0.6072 -0.6445 1.314 -0.6576 0 200 200 150 527.214 575.513 541.001 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"123" 72400004 1 3 0 2 0 0.4637 1.4326 -0.7823 -0.7483 -0.7684 -1.0118 -0.4872 -0.8598 -0.2327 1.0346 0 220 220 220 481.259 459.521 443.428 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"124" 72400004 0 1 0 6 0 1.8905 -2.0836 1.7316 -0.2653 0.7064 -1.0118 -0.7206 0.8913 -1.1846 1.0346 1 200 200 300 584.389 643.867 651.826 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"125" 72400004 0 1 0 6 0 -0.4342 0.9423 0.2907 0.4256 -0.0649 1.1793 0.1189 1.1016 -0.8065 0.6402 0 200 200 150 409.963 448.245 368.173 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"126" 72400004 0 1 0 6 0 0.8207 0.4381 1.4454 -0.3446 -0.431 -0.1357 -0.474 0.1753 -0.8266 1.0346 0 200 250 150 433.949 378.615 449.721 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"127" 72400004 0 3 3 4 0 0.052 0.6818 -0.7823 -0.9033 -0.4295 -1.0118 -0.579 -0.332 -0.0348 0.2127 0 200 200 0 454.673 429.378 417.024 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"128" 72400004 0 3 0 2 1 1.8905 -0.4509 0.2907 -1.394 -1.2379 -0.6947 -1.1077 -2.0369 1.314 -2.0819 0 200 200 100 437.412 433.262 512.1 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"129" 72400004 0 1 0 5 0 0.3335 -1.385 1.1211 2.3764 1.802 1.1793 1.3534 1.1902 -0.0348 1.0346 1 220 220 660 557.604 649.159 665.126 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"130" 72400004 0 1 0 6 0 -1.8939 2.7249 -0.7823 -0.8197 -0.5685 -0.1357 -0.9139 0.1093 0.2727 1.0346 1 200 200 0 480.947 466.065 445.495 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"132" 72400004 1 3 0 4 0 -0.4342 -0.7654 -0.7823 -1.2939 -1.7521 -1.0118 -0.9306 -1.3114 -0.9948 -0.6439 0 200 200 150 560.069 452.671 586.997 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"133" 72400004 0 1 0 5 0 1.4083 -0.6843 0.2907 -0.0487 -0.5426 -0.4903 0.2877 0.5507 1.314 -0.6576 2 220 220 165 491.167 528.105 493.856 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"134" 72400004 1 1 0 6 0 0.052 1.4685 -0.7823 0.7078 -0.2839 0.7604 1.2792 1.0016 0.3485 1.0346 1 220 220 330 544.248 503.446 578.354 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"135" 72400004 0 1 0 6 0 0.052 2.7249 -0.7823 -0.3727 0.2964 -0.6947 -0.559 0.5026 1.314 -0.6576 0 220 220 165 516.814 384.988 487.225 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"136" 72400004 0 1 0 5 0 1.8905 0.2243 0.8615 -1.3985 -0.9597 -1.935 -0.4065 -0.3944 1.314 1.0346 1 200 200 150 426.318 447.649 422.109 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"138" 72400004 0 1 0 5 0 1.8905 -0.3184 1.1928 0.5883 1.802 1.1793 -0.4501 -0.1326 0.1155 -2.0851 0 200 200 150 609.451 628.709 576.93 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"139" 72400004 0 1 0 6 0 0.4637 0.6818 -0.7823 1.8696 1.802 -0.1357 1.1537 1.7699 -0.5973 1.0346 1 200 200 300 546.423 480.368 486.118 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"140" 72400004 0 1 0 6 0 1.8905 -1.3928 1.7316 1.1165 1.802 -0.1357 0.401 1.4761 -1.555 1.0346 1 200 200 100 640.209 596.874 543.4 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"141" 72400004 1 1 0 6 0 -1.059 0.0348 0.2907 0.1879 0.2916 -0.6853 -0.0872 0.7815 -0.8998 0.2169 1 200 200 150 663.148 640.328 655.518 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"142" 72400004 0 1 0 6 0 0.4637 0.6818 -0.7823 -0.2254 -0.3235 -0.6947 -0.0267 -0.3481 1.314 -1.5824 1 220 220 220 526.994 480.773 438.26 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"143" 72400004 1 1 0 6 0 0.1097 -0.3184 0.2907 -0.089 -0.2825 1.1793 -0.0179 0.6226 -0.6176 1.0346 0 200 200 0 517.953 488.082 447.995 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"144" 72400004 1 1 0 5 0 1.1422 1.4326 -0.7823 -1.1505 -0.677 -1.0118 -0.8757 -0.0158 -1.415 1.0346 0 220 220 330 584.764 482.369 556.523 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"145" 72400004 1 3 3 6 0 -0.9823 2.7249 -0.7823 -0.3215 -0.677 -0.9177 0.3204 0.0563 1.314 0.2169 2 180 180 180 409.155 365.075 361.155 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
"146" 72400004 0 1 0 6 0 -0.687 0.472 -0.7823 -0.0275 0.1986 -0.6122 -0.3599 0.48 -0.0348 1.0346 0 200 200 150 608.272 545.499 588.824 23 12.6935 0.4292 0.2633 -0.6744 0.2266 0.1571
